일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
88,천사의 재능 십이지 메달 12종(양) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm무게:4.65g구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
89,천사의 재능 십이지 메달 12종(원숭이)  ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585 크기:메달17mm/ 베젤 19mm 무게:4.65g 구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
90,천사의 재능 십이지 메달 12종(닭),4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585 크기:메달17mm/ 베젤 19mm 무게:4.65g 구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
91,천사의 재능 십이지 메달 12종(개),4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585 크기:메달17mm/ 베젤 19mm 무게:4.65g 구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
92,천사의 재능 십이지 메달 12종(돼지) ,4.65,748000,메달(3.75g) : Au 999.9/  베젤(0.9g) : Au 585,,"메달, 외부케이스, 보증서, 스마일뱃지","소재:순금 Au999.9크기:메달 17mm 베젤 19mm무게:Au 999.9 3.65g /  Au585 0.9g구성:메달(줄 제외), 보증서, 스마일뱃지, 외부 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:02-710-5226"
93,한국의 대표 화가 3차 - 김환기 기념메달 금메달(매화와 항아리),31.1,5400000,Au 999,31.1g / Φ40mm / 프루프,"메달, 그림, 케이스, 보증서","소재:금(Au999)크기:40mm무게:31.1g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 96.4x195mm;(측정에 따라, 오차가 발생할 수 있습니다.)품질보증:한국조폐공사상품문의:1577-4321"
94,한국의 대표 화가 3차 - 김환기 기념메달 은메달(매화와 항아리),31.1,285000,Ag 999,31.1g / Φ40mm / 프루프,"메달, 그림, 케이스, 보증서","소재:은(Ag999)크기:40mm무게:31.1g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 96.4x195mm;(측정에 따라, 오차가 발생할 수 있습니다.)품질보증:한국조폐공사상품문의:1577-4321"
95,한국의 대표 화가 3차 - 김환기 기념메달 금메달(영원의 노래),31.1,5400000,Au 999,31.1g / Φ40mm / 프루프,"메달, 그림, 케이스, 보증서","소재:금(Au999)크기:40mm무게:31.1g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 161x111mm;(측정에 따라, 오차가 발생할 수 있습니다.)품질보증:한국조폐공사상품문의:1577-4321"
96,한국의 대표 화가 3차 - 김환기 기념메달 은메달(영원의 노래),31.1,285000,Ag 999,31.1g / Φ40mm / 프루프,"메달, 그림, 케이스, 보증서","소재:은(Ag999)크기:40mm무게:31.1g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 161x111mm;(측정에 따라, 오차가 발생할 수 있습니다.)품질보증:한국조폐공사상품문의:1577-4321"
97,[2차 예약판매]검은사막 10주년 기념메달 은,31.1,280000,Ag 999,31.1g / Φ40mm / 프루프,"메달, 케이스, 보증서","소재:은(Ag 999)크기:40mm무게:31.1g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
98,[2차 예약판매]검은사막 10주년 기념메달 금,15.55,2860000,Au 999,15.55g / Φ32mm / 프루프,"메달, 케이스, 보증서","소재:금(Au999)크기:32mm무게:15.55g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
99,[예약판매]검은사막 10주년 기념메달 은,31.1,280000,Ag 999,31.1g / Φ40mm / 프루프,"메달, 케이스, 보증서","소재:은(Ag 999)크기:40mm무게:31.1g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
100,[예약판매]검은사막 10주년 기념메달 금,15.55,2860000,Au 999,15.55g / Φ32mm / 프루프,"메달, 케이스, 보증서","소재:금(Au999)크기:32mm무게:15.55g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
101,한국의 대표 화가 2차 - 박수근 기념메달 2-4차 은메달(고목과 여인),40,279000,Ag 999,40g / Φ40mm ,"메달, 그림, 케이스, 보증서","소재:은 (Ag999)크기:40mm무게:40g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 115x138.5mm품질보증:한국조폐공사상품문의:1577-4321"
102,한국의 대표 화가 2차 - 박수근 기념메달 2-4차 금메달(고목과 여인),31.1,4890000,Au 999,31.1g / Φ40mm / 프루프,"메달, 그림, 케이스, 보증서","소재:금(Au999)크기:40mm무게:31.1g구성:메달, 그림, 케이스, 보증서사이즈:액자사이즈: 260x260mm;그림사이즈: 115x138.5mm품질보증:한국조폐공사상품문의:1577-4321"
103,통도사 금강계단 기념메달 은,40,198000,Ag 999,31.1g / Φ40mm ,"메달, 케이스, 보증서","소재:은 (Ag999)크기:40mm무게:31.1g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
104,통도사 금강계단 기념메달 금,31.1,4499000,Au 999,31.1g / Φ40mm / 프루프,"메달, 케이스, 보증서","소재:금(Au999)크기:40mm무게:31.1g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
105,[예약판매]T1 우승 기념 은메달,15.55,140000,Ag 999,15.55g / Φ32mm / 프루프,"메달, 포토카드, 케이스, 보증서","소재:은(Ag 999)크기:32mm무게:15.55g구성:메달, 포토카드, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
106,[예약판매]T1 우승 기념 카드형 골드,7.77,1440000,Au 999,7.77g / Φ22mm / 프루프,"메달, 포토카드, 케이스, 보증서","소재:금(Au999)크기:22mm무게:7.77g구성:메달, 포토카드, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
107,복온공주 활옷 기념 은메달 31.1g(1oz),31.1,242000,Ag 999,40 x 40mm,"메달, 케이스, 보증서","소재:순은 Ag999크기:40 x 40mm무게:31.1(1oz)구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
108,복온공주 활옷 기념 금메달 31.1g(1oz),31.1,4500000,Au 999,금메달 28.9 x 28.9mm,"메달, 케이스, 보증서","소재:순금 Au999크기:28.9 x 28.9mm무게:31.1(1oz)구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
109,LOL 2023 월드 챔피언십 기념메달 (금),31.1,4180000,Au 999,"31.1g, 직경 40mm, PROOF","메달, 케이스, 보증서","소재:순금(Au999)크기:직경 40mm무게:31.1g상태:PROOF구성:메달,케이스,보증서품질보증:한국조폐공사상품문의:1577-4321"
110,LOL 2023 월드 챔피언십 기념메달 (은),31.1,253000,Ag 999,"31.1g, 직경 40mm, Proof, 블랙로듐 부분도금","메달, 케이스, 보증서","소재:순은(Ag999)크기:직경 40mm무게:31.1g상태:Proof, 블랙로듐 부분도금구성:메달,케이스,보증서품질보증:한국조폐공사상품문의:1577-4321"
111,연등회 기념 은메달,0,220000,Ag999,31.1g / 40mm,"메달, 케이스, 보증서","소재:Ag999크기:40mm무게:31.1g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
112,박항서 감독 기념 동메달,10.1,38500,트라이메탈,10.1g,"메달, 케이사,보증서 ","소재:동크기:28.2mm무게:10.1g구성:메달, 캡슐, 내외부케이스품질보증:한국조폐공사상품문의:1577-4321"
113,디윰아트 2022 임인년 호랑이 해 고심도 메달,0,187000,"동(Cu90, Zn10)",390g정도 / 80mm,"메달, 케이스, 보증서","소재:단동(Cu 90, Zn 10)크기:80mm무게:390g 정도구성:기념메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
114,박항서 감독 기념 은메달 ,0,165000,Ag999,31.1g,"메달, 케이사,보증서 ","소재:순은(Ag999)크기:40mm무게:31.1g구성:메달, 캡슐, 내외부케이스품질보증:한국조폐공사상품문의:1577-4321"
115,축하기념메달 [골프 - 싱글] 황동 크리스탈 케이스,200,150000,"황동(Cu  65,  Zn  35)+크리스탈케이스",80mm,"메달, 크리스탈케이스","소재:황동(Cu 65, Zn 35)+크리스탈케이스크기:80mm무게:200g구성:메달, 크리스탈케이스 (축하문안포함), 제품보증품질보증:한국조폐공사각인문구:koreamint@komsco.com 으로 크리스탈 케이스에 각인할 문구를 보내주시기 바랍니다. (주문번호, 연락처 기재)"
116,축하기념메달 [골프 - 이글] 황동 크리스탈 케이스,200,150000,"황동(Cu  65,  Zn  35)+크리스탈케이스",80mm,"메달, 크리스탈케이스","소재:황동(Cu 65, Zn 35)+크리스탈케이스크기:80mm무게:200g구성:메달, 크리스탈케이스 (축하문안포함), 제품보증품질보증:한국조폐공사상품문의:02-710-5228각인 문구:koreamint@komsco.com  으로 크리스탈 케이스에 각인하실 문구를 보내주시기 바랍니다. (주문번호, 연락처 기재)"
117,축하기념메달 [골프 - 홀인원] 황동 크리스탈 케이스,200,150000,"황동(Cu  65,  Zn  35)+크리스탈케이스",80mm,"메달, 크리스탈케이스","소재:황동(Cu 65, Zn 35)+크리스탈케이스크기:80mm무게:200g구성:메달, 크리스탈케이스 (축하문안포함), 제품보증품질보증:한국조폐공사상품문의:02-710-5228각인문구:koreamint@komsco.com 으로 크리스탈 케이스에 각인하실 문구를 보내주시기 바랍니다. (주문번호, 연락처 기재)"
118,양면 고심도 토끼 은메달,0,187000,순은(Ag999),"37.5g, 40mm","메달, 보증서, 케이스","소재:순은(Ag999)크기:40mm무게:37.5g구성:메달, 보증서, 케이스품질보증:한국조폐공사상품문의:1577-4321"
119,도깨비 카드형 실버(10g),10,49000,Ag 999.9,실버바 16X27mm 카드 54X86mm,"메달, 케이스, 보증서","소재 :순은 Ag 999.9크기:10g(16mm × 27mm)무게:10g구성:메달, 케이스보증서:제품 뒷면 보증서 품질보증:한국조폐공사상품문의:1577-4321"
120,경주 천마총 발굴 50주년 지폐형 은메달,0,110000,Ag 999,10g /154x68mm / UNC,"메달, 케이스, 보증서","소재:은(Ag999)크기:154x68mm무게:10g구성:메달,케이스,보증서품질보증:한국조폐공사상품문의:1577-4321"
121,로열시리즈 4차-일월오봉도 기념 은메달,10,110000,Ag 999,154X68mm,"메달, 케이스, 보증서","소재:Ag 999크기:154X68mm무게:10g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
122,초콜릿 실버바_핑크베리,0,297000,Ag9999,100g / 80x60mm,"메달, 케이스, 보증서","소재:순은 Ag999.9크기:80x60mm무게:100g구성:메달, 케이스, 보증서품질보증:한국조폐공사상품문의:1577-4321"
123,초콜릿 실버바_밀크,100,264000,Ag 999.9,80X60mm,"초콜릿 실버바, 보증서, 케이스","소재:Ag 999.9크기:80X60mm무게:100g구성:초콜릿 실버바, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
124,초콜릿 실버바_화이트,100,231000,Ag 999.9,,"초콜릿 실버바, 보증서, 케이스","소재:순은 Ag 999.9크기:80X60mm무게:100g구성:초콜릿 실버바, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
125,가화만사성 실버바(93.3g),93.3,220000,Ag 999.9,93.3g,"실버바(착조), 외부 케이스, 보증서 ","소재:순은 Ag999.9크기:47mm × 70mm무게:93.3g구성:실버바(착조), 외부 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
